Date,Price
15-Apr-19,142.85
13-May-19,119.3
17-Jun-19,146.3
15-Jul-19,131.3
13-Aug-19,138.8
16-Sep-19,156.95
14-Oct-19,175.1
18-Nov-19,203.45
16-Dec-19,218.8
13-Jan-20,228.4
17-Feb-20,258.65
16-Mar-20,137.7
13-Apr-20,143.9
18-May-20,138.1
15-Jun-20,144.85
13-Jul-20,151.6
17-Aug-20,233.35
14-Sep-20,274.4
19-Oct-20,315.45
17-Nov-20,388.3
14-Dec-20,455.15
18-Jan-21,618.52
15-Feb-21,781.9
15-Mar-21,889.65
19-Apr-21,1157.6
17-May-21,1315.1
14-Jun-21,1487.5
19-Jul-21,1404.65
16-Aug-21,1430.2
13-Sep-21,1480.25
18-Oct-21,1543
15-Nov-21,1594.15
13-Dec-21,1645.3
17-Jan-22,1828.3
14-Feb-22,1736.3
14-Mar-22,1819.65
18-Apr-22,2723.3
16-May-22,2219.55
16-Jun-22,2471.42
14-Jul-22,2800.81
16-Aug-22,3130.2
15-Sep-22,3221.05
17-Oct-22,3311.9
14-Nov-22,4019.8
15-Dec-22,3737.97
16-Jan-23,3456.15
16-Feb-23,3597.06
16-Mar-23,2700.03
17-Apr-23,1803
15-May-23,1956.05
15-Jun-23,2186.17
17-Jul-23,2416.3
17-Aug-23,2301.23
14-Sep-23,2347.49
16-Oct-23,2393.75
15-Nov-23,2370.62
14-Dec-23,2643.13
15-Jan-24,2915.65
15-Feb-24,2779.39
14-Mar-24,2903.17
15-Apr-24,3026.95
