Date,Price
15-Apr-19,182.55
13-May-19,156.55
17-Jun-19,146.5
15-Jul-19,138.7
13-Aug-19,103.8
16-Sep-19,108.65
14-Oct-19,107.65
18-Nov-19,144.2
16-Dec-19,157.05
13-Jan-20,176.95
17-Feb-20,193.4
16-Mar-20,104.55
13-Apr-20,96.2
18-May-20,96.6
15-Jun-20,145.7
13-Jul-20,17.65
17-Aug-20,223.6
14-Sep-20,198.3
19-Oct-20,206.65
17-Nov-20,236.55
14-Dec-20,272.05
18-Jan-21,281.65
15-Feb-21,321.5
15-Mar-21,313.05
19-Apr-21,437.05
17-May-21,403.15
14-Jun-21,388.35
19-Jul-21,397.7
16-Aug-21,376.85
13-Sep-21,386.6
18-Oct-21,425.1
15-Nov-21,370.05
13-Dec-21,386.05
17-Jan-22,405.15
14-Feb-22,413.15
14-Mar-22,477.15
18-Apr-22,537.85
16-May-22,478.8
16-Jun-22,317.6
14-Jul-22,360.2
16-Aug-22,403.95
15-Sep-22,425.8
17-Oct-22,437.95
14-Nov-22,517.75
15-Dec-22,524.3
16-Jan-23,601.1
16-Feb-23,560.3
16-Mar-23,534.1
17-Apr-23,573.05
15-May-23,522.4
15-Jun-23,568.85
17-Jul-23,628.1
17-Aug-23,634.4
14-Sep-23,683.2
16-Oct-23,662.4
15-Nov-23,654.65
14-Dec-23,726.4
15-Jan-24,729.25
15-Feb-24,786.55
14-Mar-24,767.75
15-Apr-24,927.25
