Date,Price
15-Apr-19,56.25
13-May-19,44.75
17-Jun-19,50.82
15-Jul-19,34.32
13-Aug-19,34.2
16-Sep-19,37.1
14-Oct-19,30.17
18-Nov-19,31.75
16-Dec-19,28.27
13-Jan-20,33
17-Feb-20,27.15
16-Mar-20,15.86
13-Apr-20,15.5
18-May-20,16.62
15-Jun-20,18.12
13-Jul-20,21.94
17-Aug-20,25.77
14-Sep-20,40.75
19-Oct-20,49.15
17-Nov-20,45.5
14-Dec-20,60.17
18-Jan-21,67.25
15-Feb-21,65.25
15-Mar-21,59.05
19-Apr-21,102.85
17-May-21,102.85
14-Jun-21,102.85
19-Jul-21,102.85
16-Aug-21,109.97
13-Sep-21,117.1
18-Oct-21,124.22
15-Nov-21,131.35
13-Dec-21,127.97
17-Jan-22,91.72
14-Feb-22,139.78
14-Mar-22,142.33
18-Apr-22,154.87
16-May-22,142.77
16-Jun-22,137.07
14-Jul-22,134.32
16-Aug-22,139.62
15-Sep-22,140.43
17-Oct-22,99.75
14-Nov-22,104.35
15-Dec-22,115.72
16-Jan-23,135.77
16-Feb-23,127.95
16-Mar-23,135.27
17-Apr-23,134.7
15-May-23,130.62
15-Jun-23,131.15
17-Jul-23,123.45
17-Aug-23,156.37
14-Sep-23,171.87
16-Oct-23,170.62
15-Nov-23,169.55
14-Dec-23,171.05
15-Jan-24,188.72
15-Feb-24,168.35
14-Mar-24,145.05
15-Apr-24,167.5
