Date,Price,Company
15-Apr-19,53.69,Tata Steel
13-May-19,43.95,Tata Steel
17-Jun-19,49.77,Tata Steel
15-Jul-19,45.81,Tata Steel
13-Aug-19,36.31,Tata Steel
16-Sep-19,36.86,Tata Steel
14-Oct-19,35.96,Tata Steel
18-Nov-19,40,Tata Steel
16-Dec-19,46.1,Tata Steel
13-Jan-20,49.53,Tata Steel
17-Feb-20,44.36,Tata Steel
16-Mar-20,29.78,Tata Steel
13-Apr-20,29.34,Tata Steel
18-May-20,27.45,Tata Steel
15-Jun-20,32.06,Tata Steel
13-Jul-20,35.1,Tata Steel
17-Aug-20,42.89,Tata Steel
14-Sep-20,39.55,Tata Steel
19-Oct-20,42.35,Tata Steel
17-Nov-20,53.29,Tata Steel
14-Dec-20,63.13,Tata Steel
18-Jan-21,64.7,Tata Steel
15-Feb-21,67.07,Tata Steel
15-Mar-21,73.3,Tata Steel
19-Apr-21,92.56,Tata Steel
17-May-21,111.31,Tata Steel
14-Jun-21,109.23,Tata Steel
19-Jul-21,128.14,Tata Steel
16-Aug-21,137.56,Tata Steel
13-Sep-21,138.59,Tata Steel
18-Oct-21,129.63,Tata Steel
15-Nov-21,118.66,Tata Steel
13-Dec-21,113.21,Tata Steel
17-Jan-22,116.97,Tata Steel
14-Feb-22,119.08,Tata Steel
14-Mar-22,130.35,Tata Steel
18-Apr-22,127.76,Tata Steel
16-May-22,117.06,Tata Steel
16-Jun-22,90.67,Tata Steel
14-Jul-22,88.38,Tata Steel
16-Aug-22,112.55,Tata Steel
15-Sep-22,105.7,Tata Steel
17-Oct-22,100.05,Tata Steel
14-Nov-22,106.55,Tata Steel
15-Dec-22,111.05,Tata Steel
16-Jan-23,122.45,Tata Steel
16-Feb-23,112.25,Tata Steel
16-Mar-23,107,Tata Steel
17-Apr-23,108.1,Tata Steel
15-May-23,106,Tata Steel
15-Jun-23,114.25,Tata Steel
17-Jul-23,116.7,Tata Steel
17-Aug-23,115.8,Tata Steel
14-Sep-23,131.95,Tata Steel
16-Oct-23,127.1,Tata Steel
15-Nov-23,125.2,Tata Steel
14-Dec-23,136.45,Tata Steel
15-Jan-24,131.65,Tata Steel
15-Feb-24,142.3,Tata Steel
14-Mar-24,141.7,Tata Steel
15-Apr-24,160.05,Tata Steel
15-Apr-19,182.55,Jindal Steel
13-May-19,156.55,Jindal Steel
17-Jun-19,146.5,Jindal Steel
15-Jul-19,138.7,Jindal Steel
13-Aug-19,103.8,Jindal Steel
16-Sep-19,108.65,Jindal Steel
14-Oct-19,107.65,Jindal Steel
18-Nov-19,144.2,Jindal Steel
16-Dec-19,157.05,Jindal Steel
13-Jan-20,176.95,Jindal Steel
17-Feb-20,193.4,Jindal Steel
16-Mar-20,104.55,Jindal Steel
13-Apr-20,96.2,Jindal Steel
18-May-20,96.6,Jindal Steel
15-Jun-20,145.7,Jindal Steel
13-Jul-20,17.65,Jindal Steel
17-Aug-20,223.6,Jindal Steel
14-Sep-20,198.3,Jindal Steel
19-Oct-20,206.65,Jindal Steel
17-Nov-20,236.55,Jindal Steel
14-Dec-20,272.05,Jindal Steel
18-Jan-21,281.65,Jindal Steel
15-Feb-21,321.5,Jindal Steel
15-Mar-21,313.05,Jindal Steel
19-Apr-21,437.05,Jindal Steel
17-May-21,403.15,Jindal Steel
14-Jun-21,388.35,Jindal Steel
19-Jul-21,397.7,Jindal Steel
16-Aug-21,376.85,Jindal Steel
13-Sep-21,386.6,Jindal Steel
18-Oct-21,425.1,Jindal Steel
15-Nov-21,370.05,Jindal Steel
13-Dec-21,386.05,Jindal Steel
17-Jan-22,405.15,Jindal Steel
14-Feb-22,413.15,Jindal Steel
14-Mar-22,477.15,Jindal Steel
18-Apr-22,537.85,Jindal Steel
16-May-22,478.8,Jindal Steel
16-Jun-22,317.6,Jindal Steel
14-Jul-22,360.2,Jindal Steel
16-Aug-22,403.95,Jindal Steel
15-Sep-22,425.8,Jindal Steel
17-Oct-22,437.95,Jindal Steel
14-Nov-22,517.75,Jindal Steel
15-Dec-22,524.3,Jindal Steel
16-Jan-23,601.1,Jindal Steel
16-Feb-23,560.3,Jindal Steel
16-Mar-23,534.1,Jindal Steel
17-Apr-23,573.05,Jindal Steel
15-May-23,522.4,Jindal Steel
15-Jun-23,568.85,Jindal Steel
