Date,Tata Steel,Jindal Steel,Mukund Ltd,SAIL,ADANI
15-Apr-19,53.69,182.55,56.25,58.2,142.85
13-May-19,43.95,156.55,44.75,52.72,119.3
17-Jun-19,49.77,146.5,50.82,48.82,146.3
15-Jul-19,45.81,138.7,34.32,46.82,131.3
13-Aug-19,36.31,103.8,34.2,37.45,138.8
16-Sep-19,36.86,108.65,37.1,33.47,156.95
14-Oct-19,35.96,107.65,30.17,32.67,175.1
18-Nov-19,40,144.2,31.75,36.9,203.45
16-Dec-19,46.1,157.05,28.27,40.15,218.8
13-Jan-20,49.53,176.95,33,49.82,228.4
17-Feb-20,44.36,193.4,27.15,42.92,258.65
16-Mar-20,29.78,104.55,15.86,26.87,137.7
13-Apr-20,29.34,96.2,15.5,26.32,143.9
18-May-20,27.45,96.6,16.62,28.35,138.1
15-Jun-20,32.06,145.7,18.12,29.6,144.85
13-Jul-20,35.1,17.65,21.94,38.6,151.6
17-Aug-20,42.89,223.6,25.77,39.17,233.35
14-Sep-20,39.55,198.3,40.75,39.65,274.4
19-Oct-20,42.35,206.65,49.15,34.52,315.45
17-Nov-20,53.29,236.55,45.5,40.4,388.3
14-Dec-20,63.13,272.05,60.17,59.12,455.15
18-Jan-21,64.7,281.65,67.25,67.3,618.52
15-Feb-21,67.07,321.5,65.25,64.05,781.9
15-Mar-21,73.3,313.05,59.05,74.47,889.65
19-Apr-21,92.56,437.05,102.85,87.4,1157.6
17-May-21,111.31,403.15,102.85,127.3,1315.1
14-Jun-21,109.23,388.35,102.85,134.62,1487.5
19-Jul-21,128.14,397.7,102.85,126.97,1404.65
16-Aug-21,137.56,376.85,109.97,134.25,1430.2
13-Sep-21,138.59,386.6,117.1,121.25,1480.25
18-Oct-21,129.63,425.1,124.22,128.3,1543
15-Nov-21,118.66,370.05,131.35,116.72,1594.15
13-Dec-21,113.21,386.05,127.97,117.97,1645.3
17-Jan-22,116.97,405.15,91.72,107.37,1828.3
14-Feb-22,119.08,413.15,139.78,97.9,1736.3
14-Mar-22,130.35,477.15,142.33,99.67,1819.65
18-Apr-22,127.76,537.85,154.87,105.85,2723.3
16-May-22,117.06,478.8,142.77,80.55,2219.55
16-Jun-22,90.67,317.6,137.07,69.25,2471.42
14-Jul-22,88.38,360.2,134.32,70.32,2800.81
16-Aug-22,112.55,403.95,139.62,81.57,3130.2
15-Sep-22,105.7,425.8,140.43,82.9,3221.05
17-Oct-22,100.05,437.95,99.75,77.35,3311.9
14-Nov-22,106.55,517.75,104.35,88.27,4019.8
15-Dec-22,111.05,524.3,115.72,84.52,3737.97
16-Jan-23,122.45,601.1,135.77,88.65,3456.15
16-Feb-23,112.25,560.3,127.95,85.15,3597.06
16-Mar-23,107,534.1,135.27,85.67,2700.03
17-Apr-23,108.1,573.05,134.7,82.05,1803
15-May-23,106,522.4,130.62,83.32,1956.05
15-Jun-23,114.25,568.85,131.15,87.56,2186.17
17-Jul-23,116.7,628.1,123.45,91.8,2416.3
17-Aug-23,115.8,634.4,156.37,87.3,2301.23
14-Sep-23,131.95,683.2,171.87,98.12,2347.49
16-Oct-23,127.1,662.4,170.62,88.95,2393.75
15-Nov-23,125.2,654.65,169.55,89,2370.62
14-Dec-23,136.45,726.4,171.05,108.87,2643.13
15-Jan-24,131.65,729.25,188.72,116.72,2915.65
15-Feb-24,142.3,786.55,168.35,125.07,2779.39
14-Mar-24,141.7,767.75,145.05,121.05,2903.17
15-Apr-24,160.05,927.25,167.5,151.95,3026.95
