Date,Price
15-Apr-19,58.2
13-May-19,52.72
17-Jun-19,48.82
15-Jul-19,46.82
13-Aug-19,37.45
16-Sep-19,33.47
14-Oct-19,32.67
18-Nov-19,36.9
16-Dec-19,40.15
13-Jan-20,49.82
17-Feb-20,42.92
16-Mar-20,26.87
13-Apr-20,26.32
18-May-20,28.35
15-Jun-20,29.6
13-Jul-20,38.6
17-Aug-20,39.17
14-Sep-20,39.65
19-Oct-20,34.52
17-Nov-20,40.4
14-Dec-20,59.12
18-Jan-21,67.3
15-Feb-21,64.05
15-Mar-21,74.47
19-Apr-21,87.4
17-May-21,127.3
14-Jun-21,134.62
19-Jul-21,126.97
16-Aug-21,134.25
13-Sep-21,121.25
18-Oct-21,128.3
15-Nov-21,116.72
13-Dec-21,117.97
17-Jan-22,107.37
14-Feb-22,97.9
14-Mar-22,99.67
18-Apr-22,105.85
16-May-22,80.55
16-Jun-22,69.25
14-Jul-22,70.32
16-Aug-22,81.57
15-Sep-22,82.9
17-Oct-22,77.35
14-Nov-22,88.27
15-Dec-22,84.52
16-Jan-23,88.65
16-Feb-23,85.15
16-Mar-23,85.67
17-Apr-23,82.05
15-May-23,83.32
15-Jun-23,87.56
17-Jul-23,91.8
17-Aug-23,87.3
14-Sep-23,98.12
16-Oct-23,88.95
15-Nov-23,89
14-Dec-23,108.87
15-Jan-24,116.72
15-Feb-24,125.07
14-Mar-24,121.05
15-Apr-24,151.95
